date,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,pressure_msl_mean
2018-09-02 00:00:00+00:00,29.95192,59.10373,0.1,1009.3
2018-09-03 00:00:00+00:00,30.778997,56.013615,0.0,1007.12915
2018-09-04 00:00:00+00:00,30.77691,53.477203,0.0,1007.6208
2018-09-05 00:00:00+00:00,30.372751,51.63377,0.0,1009.07086
2018-09-06 00:00:00+00:00,29.393585,52.37529,0.0,1010.07086
2018-09-07 00:00:00+00:00,29.104004,49.897335,0.0,1011.05835
2018-09-08 00:00:00+00:00,29.070663,49.79713,0.0,1012.16254
2018-09-09 00:00:00+00:00,28.84567,53.35317,0.0,1011.5291
2018-09-10 00:00:00+00:00,28.810251,53.62032,0.0,1012.31665
2018-09-11 00:00:00+00:00,28.543585,51.457855,0.0,1012.90845
2018-09-12 00:00:00+00:00,28.756086,50.527924,0.0,1011.36664
2018-09-13 00:00:00+00:00,28.35192,44.470295,0.0,1012.4084
2018-09-14 00:00:00+00:00,28.614416,43.627613,0.0,1014.0708
2018-09-15 00:00:00+00:00,27.504004,51.946796,0.0,1013.93335
2018-09-16 00:00:00+00:00,27.789415,49.841995,0.0,1013.29987
2018-09-17 00:00:00+00:00,27.595667,51.228012,0.0,1011.175
2018-09-18 00:00:00+00:00,28.791498,48.81133,0.0,1010.8833
2018-09-19 00:00:00+00:00,28.808168,51.578293,0.0,1012.45825
2018-09-20 00:00:00+00:00,28.066504,52.918728,0.0,1012.6751
2018-09-21 00:00:00+00:00,27.418585,54.317657,0.0,1012.8667
2018-09-22 00:00:00+00:00,27.395668,55.78183,0.0,1013.76245
2018-09-23 00:00:00+00:00,27.249834,54.446438,0.0,1014.8918
2018-09-24 00:00:00+00:00,27.347754,54.58258,0.0,1013.575
2018-09-25 00:00:00+00:00,27.747751,56.256435,0.0,1012.64996
2018-09-26 00:00:00+00:00,27.116503,57.92503,0.0,1012.1709
2018-09-27 00:00:00+00:00,27.526918,55.164806,0.0,1013.2834
